src_fid,src_id,area_m2,front_fwd,front_back,front_best,side_left,side_right,side_best,dist_fwd,dist_back,dist_left,dist_right,ang_fwd,ang_back,ang_left,ang_right,risk_class
0,dji_fly_20260301_145018_99_1772373304919_timed.jpg,8100.000000000931,55.17352852873146,54.57096531481809,55.17352852873146,52.59000217334487,68.27878098704147,68.27878098704147,29.626030381641325,30.173559621707533,48.04725865473929,25.770484087073218,0.0,2.6432710924441483,10.136216034861208,26.49041290279815,poor
2,dji_fly_20260301_145048_109_1772373304914_timed.jpg,8099.999999994412,58.821146591158666,54.30796459635994,58.821146591158666,68.27878098714243,59.25490385023251,68.27878098714243,29.338107076721116,30.042741778997144,25.770484087073218,47.45882766251782,32.07286459592577,2.523674872979163,6.734019146640201,13.862983842917059,poor
4,dji_fly_20260301_145052_110_1772373304914_timed.jpg,8099.999999990687,54.201136992450024,53.09707421265944,54.201136992450024,76.42857512812881,56.06400263726397,76.42857512812881,30.302825653270364,30.459662591599297,16.554176985590086,49.23406151739667,0.0,7.204537374698531,26.97437840923441,7.026133076522838,poor
6,dji_fly_20260301_145106_115_1772373304911_timed.jpg,8100.000000002794,56.313965943358085,54.24850251934241,56.313965943358085,56.06400263718017,0.0,56.06400263718017,28.261808970826582,29.773391617815463,49.23406151739667,-1,0.0,4.789488409296617,15.849373342716072,-1,poor
8,dji_fly_20260301_145036_105_1772373304916_timed.jpg,8100.000000007451,61.398407857946594,61.44906927552171,61.44906927552171,55.89326978025899,0.0,55.89326978025899,25.56369214749514,25.630235978133353,44.720741068175734,-1,0.0,34.66328315374982,19.51371400323829,-1,weak
10,dji_fly_20260301_145100_113_1772373304912_timed.jpg,8099.999999988824,0.0,61.634831754351566,61.634831754351566,52.74884826622501,0.0,52.74884826622501,-1,24.697646942993206,37.25678973172055,-1,-1,0.0,1.7233660640317472,-1,weak
12,dji_fly_20260301_145058_112_1772373304913_timed.jpg,8100.0,0.0,61.46691989668725,61.46691989668725,0.0,66.32056653819242,66.32056653819242,-1,25.418120515748623,-1,20.01914756990482,-1,0.0,-1,19.5900079997899,weak
14,dji_fly_20260301_145104_114_1772373304912_timed.jpg,8100.000000010245,61.63483175413683,56.313965943329286,61.63483175413683,54.66577905137077,0.0,54.66577905137077,24.697646942993206,28.261808970826582,45.31431787315492,-1,0.0,15.229895637676494,34.73321042233438,-1,weak
16,dji_fly_20260301_144958_92_1772373304922_timed.jpg,8099.99999998603,63.82987383646217,85.67697866250487,85.67697866250487,0.0,52.59000217344162,52.59000217344162,23.701790967470757,9.248388659759227,-1,48.04725865473929,0.0,1.506468586325978,-1,2.0885703404343334,weak
18,dji_fly_20260301_145016_98_1772373304920_timed.jpg,8100.000000007451,59.999801927576144,55.17352852862956,59.999801927576144,44.78386149091413,76.42857512792465,76.42857512792465,25.94358964376169,29.626030381641325,52.68285100250365,16.554176985590086,0.0,9.77753592953811,6.326671044157937,29.74869886115569,poor
20,dji_fly_20260301_145034_104_1772373304917_timed.jpg,8100.0,59.74785297051256,0.0,59.74785297051256,74.02469324375744,61.44906927557823,74.02469324375744,28.250741361318386,-1,16.44607155212136,25.630235978133353,30.716720844552658,-1,0.3163537926829709,8.612300658944632,poor
22,dji_fly_20260301_145012_97_1772373304920_timed.jpg,8099.999999997206,0.0,59.999801927663526,59.999801927663526,50.85283333970907,38.46217709114193,50.85283333970907,-1,25.94358964376169,40.776108347471414,54.58027400532139,-1,0.0,26.77575389217544,31.286573055254706,poor
24,dji_fly_20260301_145028_102_1772373304918_timed.jpg,8099.999999988824,53.02303547824196,56.94461465473842,56.94461465473842,0.0,59.747852970595,59.747852970595,31.02112387257428,24.461236060188643,-1,28.250741361318386,0.0,22.995337918391602,-1,31.56162005682628,poor
26,dji_fly_20260301_145040_106_1772373304916_timed.jpg,8099.999999988824,59.50889475343704,0.0,59.50889475343704,52.55418213898737,42.635274541703595,52.55418213898737,26.716910929293405,-1,53.43378392493545,38.5347202409412,0.0,-1,23.495700897840727,34.617503352867224,poor
28,dji_fly_20260301_145112_117_1772373304910_timed.jpg,8099.999999994412,53.37849869531019,56.30091467881895,56.30091467881895,57.04149054691543,0.0,57.04149054691543,30.33385537466635,29.159321884980045,45.649492977635454,-1,0.0,17.897141419350096,8.509146845911713,-1,poor
30,dji_fly_20260301_145024_101_1772373304918_timed.jpg,8099.999999998137,54.39748292797588,53.023035478158,54.39748292797588,0.0,46.65293625720274,46.65293625720274,30.365786977406703,31.02112387257428,-1,49.30174609686481,0.0,0.19843387043443386,-1,22.666736386856023,poor
32,dji_fly_20260301_145110_116_1772373304911_timed.jpg,8100.000000005588,54.24850251932945,53.37849869516181,54.24850251932945,59.254903850150754,0.0,59.254903850150754,29.773391617815463,30.33385537466635,47.45882766251782,-1,0.0,2.936207443578477,10.692198325115163,-1,poor
34,dji_fly_20260301_145046_108_1772373304915_timed.jpg,8100.000000006519,54.307964596278765,54.42745300557361,54.42745300557361,60.6955055823912,57.041490546864665,60.6955055823912,30.042741778997144,29.481958475088078,35.77938890891663,45.649492977635454,0.0,5.318528167600804,3.9733284557712647,12.092464934312629,poor
36,dji_fly_20260301_145116_118_1772373304909_timed.jpg,8099.999999996275,56.30091467876001,10.398675549458206,56.30091467876001,68.55186688599605,0.0,68.55186688599605,29.159321884980045,63.181556702187564,32.07767796753808,-1,0.0,30.596604871306116,8.249082061223739,-1,poor
37,dji_fly_20260301_145010_96_1772373304920_timed.jpg,8100.000000007451,0.0,64.81062183455914,64.81062183455914,56.88312582583626,61.339816087087605,61.339816087087605,-1,22.818605190850366,23.167765904804277,26.83364074633178,-1,18.90271636162689,16.018434802877763,29.58285342214188,weak
39,dji_fly_20260301_145054_111_1772373304913_timed.jpg,8100.000000003725,61.466919896658986,71.62319500138564,71.62319500138564,61.339816087115814,54.66577905142626,61.339816087115814,25.418120515748623,17.99324518435082,26.83364074633178,45.31431787315492,0.0,11.345348265165974,21.45554503246867,26.577380571965573,usable
41,dji_fly_20260301_145004_94_1772373304921_timed.jpg,8099.999999999069,56.569384458768766,56.98265379091897,56.98265379091897,0.0,45.06624455630929,45.06624455630929,26.138916056564643,28.292284618631417,-1,55.45539900431632,0.0,29.84896267150268,-1,9.322660369573855,poor
43,dji_fly_20260301_145042_107_1772373304915_timed.jpg,8100.000000002794,54.427453005564146,59.50889475333441,59.50889475333441,46.652936257175924,68.55186688592937,68.55186688592937,29.481958475088078,26.716910929293405,49.30174609686481,32.07767796753808,0.0,9.897919952538407,3.59345000441582,18.549905614127965,poor
